emotion,cleaned_text
sad,cant feel sad sorrowful long bruce would accept
love,feel lovely getting serve others free
sad,guess call feeling homesickness ive never actually felt homesick
joy,found dancing stage people feeling truly joyful
love,feel sweet little kicks trying savor feeling
joy,remember intense feeling calm
sad,home alone yesterday feeling rather listless muted given circumstances lark gathered last free cash walked blockbuster
joy,feel affleck direction far superior acting acting poor
joy,im much personality quizzes anymore one dead post type enfj extroverted intuitive feeling judging strength preferences enfjs benevolent pedagogues humanity
joy,feel like year festival really stepped entertained
love,feel blessed honored thank god much changed life
joy,think surgeon feeling artistic morning feet colorful
sad,feel embarrassed received highest accolade career e mail sir mick congratulating election
sad,id suddenly feel drained energy wanted collapse puddle floor
sad,im feeling bad shrug briefly say whats bothering
fear,slept better slept sound still feeling fearful embarrassingly enough
joy,could devise additional categories make competitive fortunately gut feeling comes pretty clearly
anger,didnt agree telling nice would feel offended would disagree contrary would try explain remain open
joy,found group malaysians made feel comfortable home warming hong kong
sad,feeling unpleasant
sad,feeling sorry recent viral illness help notice beautiful sunset
sad,really wasnt feeling anything sentimental quilt felt fine slapping red border
fear,grew home father feel afraid life afraid experience anything new one go work pay bills normal lol normal wanted
anger,im sure hamas feeling frustrated situation launching hundreds rockets havent managed get israeli casualties
love,dont much followers feel love blogging thank anne sweet award
love,feel like passionate something okay vocal well
love,could go detail would feel naughty im mood right
sad,know feeling melancholy lately
sad,think hormones thats screwing feelings stupid thoughts
fear,still days feel confused god answered way want makes perfect sense continue path
joy,also read reviews leaves skin feeling smoother radiant
sad,feel lonely without mama
sad,absolutely hate feeling drained crabby like thankfully thats usual energy level feel much better today
sad,mean dentist exactly turn cockroach make feel victimized society
joy,feeling adventurous
sad,cant say feel ugly
anger,feel kind spacey rude
sad,learned former boyfriend become engaged although glad found wanted
sad,health gorgeous husband fantastic children always grateful point feel ungrateful feeling unsettled dumps
joy,sure audiophiles say cant perform like super high end speakers cost price range feel getting fantastic superior sound turn average system near audiophile quality
fear,feel little hesitant say yes tender heart underneath testosterone
sad,trying regain sense competency walking done lot good since would navigate maryland suburb gps feeling pretty pathetic moment even taken away
fear,feel helpless well protected
joy,think seen bad thing someone feels positive fact believe encouraged celebrated rather frowned upon
love,aware many personal reasons feel less fond shall say prince suppose human wish make point abundantly clear
sad,ive surrounded people much never chance feel lonely
suprise,heart homemaker keeps going feel overwhelmed tasks honestly qualified faith lord
anger,im feeling outraged disgusted repulsed
sad,feel disappointed even hurt
anger,know sounds bitchy yeah feel bitchy
sad,feel guilty feeling burnt
suprise,im feeling curious visit href http aardvarkartglass
anger,start feeling irritable dont sex regularly start hating dh probably vice versa
anger,aint changin cuz feel need complain hated many confronted none keep runnin trap youll get busted ur grill know im talking bout hearts beating faster know shit know put fear bitches hearts dont fuck wit
anger,feel bitter dark deep pain
love,may feel slightly sympathetic towards friends though
love,may fooled periodically thinking feelings refusal treat body someone worth caring
love,know feeling thrill anxiety wanting longing
joy,ive really gotten series feel much eager finish series
joy,feeling well moment beautiful photographs lifted spirits
joy,feel artistic somehow whenever go bucharest
joy,im feeling quite excited get introduce newest fabulous sponsor
anger,think impossible look pages cakes pies tarts manner delicious things without feeling little bit envious
fear,feeling little restless
fear,sit feels strange something
sad,glad ok makes feel even alone sadness
